nome,issn,qualis,h_index,h_2021,h_2022,fonte
Alceu(PUCRJ),15188728,A3,3,3,3,compos.org.br (Google Scholar 2021/2022)
Anais ... SBPJor - Encontro Nacional de Pesquisadores em Jornalismo,19824416,,,,,
Anais 5 Simp├│sio Internacional de Ciberjornalismo,21794529,,,,,
Atur├í - Revista Pan-Amaz├┤nica de Comunica├º├úo,25268031,B1,,,,compos.org.br (Google Scholar 2021/2022)
BOCC. Biblioteca Online de Ci├¬ncias da Comunica├º├úo,16463137,B2,,,,
BOITAT├ü,19804504,B2,,,,
"Brazilian Journal of Technology, Communication, and Cogntive Science",23577126,B1,,,,
CADERNOS DE COMUNICA├ç├âO (UFSM),16779061,B1,,,,compos.org.br (Google Scholar 2021/2022)
"COMMUNICATION, TECHNOLOGIE ET D├ëVELOPPEMENT",24911437,B2,,,,
COMUM (FACHA),0101305X,,,,,
COMUNICOLOGIA (BRAS├ìLIA),19812132,A3,,,,compos.org.br (Google Scholar 2021/2022)
CONTRATEXTO - REVISTA DE LA FACULTAD DE COMUNICACI├ôN DE LA UNIVERSIDAD DE LIMA,10259945,A2,,,,compos.org.br (Google Scholar 2021/2022)
Cadernos da Escola de Comunica├º├úo (Unibrasil),16793366,B2,,,,compos.org.br (Google Scholar 2021/2022)
Cadernos de Comunica├º├úo,2316882X,B1,,,,compos.org.br (Google Scholar 2021/2022)
Cadernos de Comunic├úo Universidade Federal de Santa Maria,2316882X,B1,,,,compos.org.br (Google Scholar 2021/2022)
Capim Dourado: Di├ílogos em Extens├úo,25957341,B2,,,,
Chasqui-Revista Latinoamericana De Comunicacion,1390924X,A1,,,,compos.org.br (Google Scholar 2021/2022)
Cibercultura (Ita├║ Cultural),16796756,A3,,,,
Comunicarte,01020242,A1,,,,
Comunicologia (Bras├¡lia),19812132,A3,,,,compos.org.br (Google Scholar 2021/2022)
Conex├úo: Comunica├º├úo e Cultura,21782687,B1,,,,
Congresso de Ci├¬ncias da COmunica├º├úo na Regi├úo Nordeste,2177790X,,,,,
Congresso de Ci├¬ncias da Comunica├º├úo da Regi├úo Nordeste,2177290X,,,,,
Congresso de Ci├¬ncias da Comunica├º├úo na Regi├úo Nordeste,2177790X,,,,,
Culturas Midi├íticas,19835930,B1,,,,
ELO - Grupo de Pesquisa em Comunica├º├úo Intercultural,19849109,,,,,
ELYRA: REVISTA DA REDE INTERNACIONAL LYRACOMPOETICS,21828954,B1,,,,
ESTUDOS EM JORNALISMO E M├ìDIA (UFSC),18066496,A2,,,,
EXTRAMUROS - REVISTA DE EXTENS├âO DA UNIVASF,23183640,,,,,
El pez y la Flecha,29543843,,,,,
Em Tempo de Hist├│rias,15171108,A4,,,,
Ensaios e Ci├¬ncia (Campo Grande),14156938,,,,,
Espirales - revista para a integra├º├úo da Am├®rica Latina e Caribe,25949721,A3,,,,
Estudios sobre el Mensaje Period├¡stico,19882696,A1,,,,
Estudos em Comunica├º├úo,16464974,A2,,,,
Estudos em Jornalismo e M├¡dia (UFSC),18066496,A2,,,,
FLUSSER STUDIES,16615719,B3,,,,
FRAGMENTOS DE CULTURA (GOI├éNIA),14149494,A1,,,,
HEALTH COMMUNICATION,10410236,A1,,,,
INTER-A├ç├âO (UFG. ONLINE),19818416,A2,,,,
INTERCOM (S├âO PAULO. IMPRESSO),18095844,A1,11,11,11,compos.org.br (Google Scholar 2021/2022)
INTERCOM (S├úo Paulo),01026453,A1,11,11,11,compos.org.br (Google Scholar 2021/2022)
INTERFACES DA EDUCA├ç├âO,21777691,A2,,,,
Iniciacom: revista brasileira de iniciacao cientifica em comunicacao social,19803494,B2,1,1,1,compos.org.br (Google Scholar 2021/2022)
Intercom Nordeste: quem tem medo da pesquisa Emp├¡rica 2011,2177790X,A1,,,,
International Journal of Communication,19328036,A1,,,,
International Journal of the Book,14479516,,,,,
Investigaci├│n y Desarrollo (Barranquilla),01213261,A2,,,,
Kwanissa: Revista de Estudos Africanos e Afro-Brasileiros,25951033,B3,,,,
"LINGUAGENS : REVISTA DE LETRAS, ARTES E COMUNICA├ç├âO (FURB)",19819943,B2,,,,compos.org.br (Google Scholar 2021/2022)
La Trama de La Comunicaci├│n,23142634,B1,,,,
La trama de la comunicaci├│n,23142634,B1,,,,
Leituras do Jornalismo,23578289,,,,,
Liinc em Revista,18083536,A1,,,,
Logos (UERJ. Impresso),01049933,A4,,,,
L├¡bero,25253166,A4,,,,
MATRIZES (ONLINE),19828160,A1,14,14,14,compos.org.br (Google Scholar 2021/2022)
MATRIZES (USP. IMPRESSO),19822073,A1,14,14,14,compos.org.br (Google Scholar 2021/2022)
MIDIA E COTIDIANO,2172602X,A2,7,5,7,compos.org.br (Google Scholar 2021/2022)
MOSAICO (RIO DE JANEIRO),21768943,A4,,,,
MOVENDO IDEIAS,26753162,A4,,,,
Matrizes (USP. Impresso),19822073,A1,14,14,14,compos.org.br (Google Scholar 2021/2022)
Movendo Id├®ias (UNAMA),1517199X,A4,,,,
M├ís Poder Local,21720223,B1,,,,
M├¡dia e Cotidiano,2178702X,A2,,,,
Observat├│rio,24474266,A2,,,,
Outros Tempos (Online),18088031,A4,,,,
P2P e Inova├º├úo,23587814,A2,,,,
PORTO DAS LETRAS,24480819,B1,,,,
Paradoxos,25255568,B3,,,,compos.org.br (Google Scholar 2021/2022)
Paran├í Eleitoral,14147866,B4,,,,
Portuguese Literary,1521804X,,,,,
Publizistik,00334006,A4,,,,
P├ígina de Debate: Quest├Áes de Linguistica e de Linguagem,19845227,,,,,
RECIAL,2718658X,,,,,
RELACult - Revista Latino-Americana de Estudos em Cultura e Sociedade,25257870,A3,,,,
REVISTA BRASILEIRA DE CI├èNCIA POL├ìTICA,21784884,A1,,,,
REVISTA BRASILEIRA DE COMUNICA├ç├âO ORGANIZACIONAL E RELA├ç├òES P├ÜBLICAS,22382593,A2,,,,compos.org.br (Google Scholar 2021/2022)
REVISTA BRASILEIRA DE ESTUDOS DA M├ìDIA,29661331,B4,,,,
REVISTA COMUNICANDO,21824037,A4,,,,
REVISTA CONTEMPOR├éNEA (UERJ. ONLINE),18060498,A3,,,,
REVISTA DE CI├èNCIAS HUMANAS UFV,22365176,A4,,,,
REVISTA DE GEOPOLITICA,21773246,,,,,
REVISTA DE LA ASOCIACI├ôN ESPA├æOLA DE INVESTIGACI├ôN DE LA COMUNICACI├ôN,23412690,A2,,,,
